OrderNumber,OrderStatus,CustomerNumber,CustomerName,OrderDate,ShipDate,PromisedDate,Closed,CreditHold,OnHold,BlanketOrder,Amount,OrderType,CustomerPurchaseOrderNumber,SalesAgent,Division,Warehouse,TaxCode,ShipperID,Attention,FOB,FreightOption,FreightAmount,FreightCost,Email,FreeField1,FreeField2,OrderRemarks,InternalRemarks,OrderRemark3,OrderRemark4,ShipToSequence,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToZip,ShipToCountry,Phone,ShipFromName,ShipFromAddress1,ShipFromAddress2,ShipFromAddress3,ShipFromCity,ShipFromState,ShipFromZip,ShipFromCountry,MiscCharge1,MiscCharge1GL,MiscCharge1Reason,MiscCharge1Tax,MiscCharge2,MiscCharge2GL,MiscCharge2Reason,MiscCharge2Tax,MiscCharge3,MiscCharge3GL,MiscCharge3Reason,MiscCharge3Tax,MiscCharge4,MiscCharge4GL,MiscCharge4Reason,MiscCharge4Tax,NumberOfPallets,ShippingZone,Truck,TruckRunId,TruckRunDate,StopNumber,StandingOrderRelease,ExternalTracking,CreateDate,UpdateDate,items,CustomFields,Month,Week
900011,Entered,0014075,NC State University,2024-09-06 04:00:00,2024-09-06T00:00:00-04:00,2024-09-06T00:00:00-04:00,True,False,False,False,1095.56,1,Email Order,0012,1,1,100,UPS GROUND,001,"San Antonio, TX",,140.56,,,,,,"MUST include the PO # in the subject line of this email.

Email Confirmation to mrukh@ncsu.edu 

Send invoice to: cbeinvoices@ncsu.edu

Invoice any remaining freight charges",,,-1,NC State University,911 Partners Way,"EB1, Campus Box 7905 Raleigh",,Raleigh,NC,27695,USA,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-06T11:08:54.513-04:00,2024-09-09T15:12:32.573-04:00,[],{},2024-09-01,2024-09-02
900012,Entered,10804,Moses Lakes Industries,2024-09-05 04:00:00,2024-09-06T00:00:00-04:00,2024-09-06T00:00:00-04:00,True,True,False,False,415.0,1,14656-5,0006,1,1,100,FEDEX FIRST,,"San Antonio, TX",COLLECT,,,,,,,,,,-1,Moses Lakes Industries,8248 Randolph Rd. NE,,,Moses Lake,WA,879114,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-06T12:32:58.373-04:00,2024-09-06T16:35:27.593-04:00,[],{},2024-09-01,2024-09-02
900013,Entered,0014060,Heraeus Precious Metals NA,2024-09-04 04:00:00,2024-09-10T00:00:00-04:00,2024-09-10T00:00:00-04:00,True,False,False,False,1488.0,1,4001184632,0006,1,1,100,FEDEX GROUND,001,Exworrks-San Antonio,COLLECT,,,,,,PO No. 4001184632,"FedEx Acct. No. 019111881
Email invoice to : SSCHanauAccountsPayable@heraeus.com
Payment inquires:hh-ssc-ap-america@heraeus.com
Reference ""1220"" or ""HPMC"" in the subject line of your e-mail",,,-1,Heraeus Precious Metals NA,Conshohocken LLC,24 Union Hill Road,,Conshohocken,PA,19428,USA,(484) 576-4177,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T09:40:22.253-04:00,2024-09-10T15:20:28.09-04:00,[],{},2024-09-01,2024-09-02
900014,Entered,0005044,"Alfie Packers, Inc.",2024-07-23 04:00:00,2024-09-10T00:00:00-04:00,2024-09-10T00:00:00-04:00,True,False,False,False,2741.76,1,2024API628,0024,1,1,100,TRUCK,,Exworks-SanAntonioTx,THIRD PARTY,,,,,,PO No. 2024API628,"SAGE SO 0877310

Do not insure shipments
For orders for code 90539, include desiccant packs in container and double seal the material's packaging to prevent moisture absorption.
Shipping provider: Panama Transfer Inc.
Attn: Katie
panamakatie@panamatransfer.com
800-489-2088 ext 515
The quote number is 119663624
If needed- customer account number: 201342

Sent invoice by mail(USPS)",,,-1,"Alfie Packers, Inc.","8901 J. Street, Suite 10",,,Omaha,NE,68127,,(800)333-7845,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T10:14:05.3-04:00,2024-09-12T12:55:35.493-04:00,[],{},2024-07-01,2024-07-22
900015,Entered,0013025,PGM of Texas LLC,2024-04-24 04:00:00,2024-09-10T00:00:00-04:00,2024-09-10T00:00:00-04:00,True,True,False,False,0.0,1,EMAIL 23APR24,0006,1,1,100,UPS GROUND,,"EXW San Antonio,TX",Prepaid,,,,,,PO No. EMAIL 23APR24,"Email invoice to billing@pgmoftexas.com and CC austin@pgmoftexas.com 

250 g packed in bags 

Please confirm shipment date to austin@pgmoftexas.com
Send copies of shipping docs austin@pgmoftexas.com",,,3,PGM of Texas LLC,5252 Platinum Dr.,,,San Marcos,TX,78666,USA,(603) 393-3842,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T10:54:27.863-04:00,2024-09-11T14:55:43-04:00,[],{},2024-04-01,2024-04-22
900016,Entered,0005290,BASF Mobile Emissions Catalyst,2024-09-09 04:00:00,2024-09-09T00:00:00-04:00,2024-09-09T00:00:00-04:00,True,False,False,False,7078.022,1,6000123601,0000,1,1,100,TRUCK,,"San Antonio,TX",COLLECT,,,galvin.maehew@basf-catalystsmetals.com,,,,"S/O 875429

Packaged in drums/totes clearly stating the lot number, BASF Part #, Gross/Net Weights.   2"" color tape to be placed around each drum just below the Noah product label .  Use color paint for the ears of the totes. 

Barium Acetate Solution - Bright Orange

Put an additional product label on the top of each drum.
Different products should be palletized separately.  Same products with different lot numbers must be palletized separately.

Use BASF Huntville assigned totes only.

Check totes to make sure the vent caps and chains are securely attached to the totes.

The following information must be on the BOL:

P.O. # 6000123601 , tote serials # and trailer seal # 

Material to be delivered to BASF on Wednesday, September 4, 2024

If the weather is going to be 40 deg F or lower between here and Huntsville during the days of transport, use a heated trailer.

When using a heated trailer, make sure to mark the B/L:   TRAILER MUST MAINTAIN A TEMPERATURE BETWEEN 70 - 85 deg. F.

To arrange for transport send an email to  Landstar at totlslg@landstarmail.com the Wednesday prior to the ship date with all the shipping details including P.O. number and delivery date.

Truck is to be exclusive use with an NTC seal applied after loading.    

P/L & C/A to be sent to HuntsvilleQC@basf-catalystsmetals.com. If emails don't go through fax to QC at (256) 774-4772

Send packing list and COA as soon as the order leaves our warehouse

Email invoice to Payables-Invoice-US32@basf-catalystsmetals.com

CC Galvin Maehew <galvin.maehew@basf-catalystsmetals.com> when sending order confirmations",,,7,HUNTSVILLE PLANT AUTOMOTIVE,9800 Kellner Road,,,Huntsville,AL,35824,USA,(256) 464-6220,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T11:17:03.657-04:00,2024-09-09T17:54:50.62-04:00,[],{},2024-09-01,2024-09-09
900017,Entered,0009554,Cascade Columbia Distribution,2024-09-06 04:00:00,2024-09-10T00:00:00-04:00,2024-09-10T00:00:00-04:00,True,False,False,False,150.0,1,STUART8,0024,1,1,100,UPS GROUND,,EXWorks:SanAntonio,Prepaid,,,,,,Po NO.STUART8,"Shipping Via our UPS Acct No: 819430

Pallets must be fumigated and stamped 

Minimum of 80% remaining Shelf Life required

Include Date of Manufacture on Tech Data Sheet

Certificate of Orgin required with all shipments

Email invoice and documentation to ap_invoice@cascadecolumbia.com

Email tech data sheet to Sharon Swanson at sharons@cascadecolumbia.com and Whitney Klaus at whitneyk@cascadecolumbia.com",,,1,Cascade Columbia Distribution,14200 SW Tualatin-Sherwood Rd.,,,Sherwood,OR,97140,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T11:24:37.54-04:00,2024-09-11T16:15:07.523-04:00,[],{},2024-09-01,2024-09-02
900018,Entered,14238,Group O,2024-09-03 04:00:00,2024-09-05T00:00:00-04:00,2024-09-05T00:00:00-04:00,True,True,False,False,1410.0,1,561131,00,1,1,100,UPS GROUND,,"San Antonio, TX",COLLECT,,,,,,,"UPS Acct. No. 2AW465

All paperwork must show customer Part No. IP-PARTS and PO No. 110017630989

Email invoice to Indirect.Accounting@groupo.com",,,1,"Caterpillar, Inc.",Caterpillar Technical Center,Building E,14009 N. Old Galena Rd,Chillicothe,IL,61523,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T11:47:31.643-04:00,2024-09-09T11:56:40.103-04:00,[],{},2024-09-01,2024-09-02
900019,Entered,0012645,Riverbend Energetics,2024-09-03 04:00:00,2024-09-06T00:00:00-04:00,2024-09-06T00:00:00-04:00,True,False,False,False,99.9999,1,RBE-00146,0006,1,1,100,UPS 3 DAY SEL,,"San Antonio, TX",COLLECT,,,,,,,"UPS Account No: 600670

No Friday deliveries - CLOSED 

Our delivery hours are M-Thurs 6:30am-4pm cst. 

Tech Data Sheet must include the following:
COC Blurb
Signature
Name
Title 
Date 
PO Number - RBE-00146
Quantity Shipped
Quantity Passed (same as shipped qty)

Send tracking information to Marcy Rankin at mrankin@riverbendenergetics.com",,,1,Hanley Industries Inc.,3640 Seminary Rd.,,,Alton,IL,62002,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T11:54:05.953-04:00,2024-09-09T14:58:06.15-04:00,[],{},2024-09-01,2024-09-02
900020,Entered,0011337,World Bioproducts LLC,2024-05-22 04:00:00,2024-09-05T00:00:00-04:00,2024-09-10T00:00:00-04:00,True,False,False,False,218.5,1,PA-12008,0000,1,1,100,Fedex Freight Priority,DIANE,EXWorks:San Antonio,Prepaid,,,,,,PO No. PA-12008,"BLANKET ORDER ALL RELEASES TO BE TAKEN BY 7 MARCH 2025

**** WHEN SENDING A ORDER CONFIRMATION WITH MORE THEN ONE RELEASE DO NOT SEND CUSTOMER A THIS 'COMPLETES YOUR ORDER'
EMAIL CONFIRMATION IT CONFUSES DAINE RASOR*****

Noah FedEx Account

Include Date of Manufacture and Retest Date on all shipping documents and product labels.

Email invoice to ap@worldbioproducts.net 

Email tracking number to Diane Rasor at drasor@worldbioproducts.net",,,1,World Bioproducts LLC,1600 Northwind Blvd,,,Libertyville,IL,60048,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T12:07:17.6-04:00,2024-09-10T15:56:25.2-04:00,[],{},2024-05-01,2024-05-20
900021,Entered,0008833,Cosmocel S.A.,2024-08-22 04:00:00,2024-09-06T00:00:00-04:00,2024-09-06T00:00:00-04:00,True,False,False,False,13617.7825,1,220824b,0012,1,1,101,FEDEX FRT ECO,,"San Antonio, TX",PPD & ADDED,286.34,,,,,,"Ship to Freight Forwarder:
Montalvo Fwd/Sonia Moreno
5606 West Mann Circle
Laredo, Texas 78041
(956)723-5241

Certificate of Origin required for each shipment.

Fax Certificate of Origin to (956)723-9780 and send with shipment

Send two copies of invoice with shipment.

Send original invoice and Cert of Origin to Cosmocel S.A. by any courier.

Email the Certificate of Origin and invoice to Jackeline.Garza@cosmocel.com

Orders are to ship prepay and add per Jackeline Garza (UPS Ground for small non haz or FedEx Freight for larger and hazmat)",,,1,Cosmocel S.A.,5606 West Mann Road,Montalvo Fwd / Sonia Moreno,,Laredo,TX,78041,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,23.63,2360,Additional Sales Tax,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T14:21:36.61-04:00,2024-09-09T15:22:28.713-04:00,[],{},2024-08-01,2024-08-19
900022,Entered,0009554,Cascade Columbia Distribution,2024-09-04 04:00:00,2024-09-09T00:00:00-04:00,2024-09-09T00:00:00-04:00,True,False,False,False,771.0,1,135616,0000,1,1,100,XPO,,ExWorks San Antonio,COLLECT,,,,,,,"SAGE SO 0879136

SPECIAL INSTRUCTIONS:

XPO account# 288342839

Customer will set up freight  - Contact info is..
Mark James
mark.j@cascadecolumbia.com
206-285-6334
                        
Pallets must be fumigated and stamped

Minimum of 80% remaining Shelf Life required

Certificate of Origin required with all shipments

Include Date of Manufacture on Tech Data Sheet

Email tech data sheet to Sharon Swanson at sharons@cascadecolumbia.com and Whitney Klaus at whitneyk@cascadecolumbia.com

Email invoice and documentation to ap_invoice@cascadecolumbia.com",,,1,Cascade Columbia Distribution,14200 SW Tualatin-Sherwood Rd.,,,Sherwood,OR,97140,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T14:24:07.233-04:00,2024-09-09T14:29:31.543-04:00,[],{},2024-09-01,2024-09-02
900023,Entered,0014270,"DuBois Chemicals, Inc.",2024-09-09 04:00:00,2024-09-06T00:00:00-04:00,2024-09-06T00:00:00-04:00,True,True,False,False,1637.5,1,363224,0006,1,1,100,TRUCK,,"San Antonio, TX",COLLECT,,,,,,,,,,-1,"DuBois Chewmicals, Inc.","DuBois Chewmicals, Inc.",3630 E Kemper Rd.,,Cincinnati,OH,45241-2011,USA,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T15:01:21.4-04:00,2024-09-09T15:11:32.83-04:00,[],{},2024-09-01,2024-09-09
900024,Entered,0009554,Cascade Columbia Distribution,2024-08-22 04:00:00,2024-09-25T00:00:00-04:00,2024-09-25T00:00:00-04:00,True,False,False,False,1372.2,1,135424,0010,1,1,100,TRUCK,,"San Antonio, TX",COLLECT,,,,,,SAGE order no.0878641,"Customer will set up freight  - Contact info is..
Erik Lonborg 
ErikL@cascadecolumbia.com                             Cell: 971-235-5466 

Pallets must be fumigated and stamped

Minimum of 80% remaining Shelf Life required

Include Date of Manufacture on Tech Data Sheet

Certificate of Origin required with all shipments

Email tech data sheet to Sharon Swanson at sharons@cascadecolumbia.com and Whitney Klaus at whitneyk@cascadecolumbia.com

Email invoice and documentation to ap_invoice@cascadecolumbia.com",,,1,Cascade Columbia Distribution,14200 SW Tualatin-Sherwood Rd.,,,Sherwood,OR,97140,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T15:31:45.943-04:00,2024-09-25T17:55:04.097-04:00,[],{},2024-08-01,2024-08-19
900025,Entered,0012412,Rogers Corporation,2024-07-16 04:00:00,2024-09-11T00:00:00-04:00,2024-09-11T00:00:00-04:00,True,True,False,False,22111.4,1,1990009803,0024,1,1,100,FEDEX GROUND,1,Exworks-San Antonio,COLLECT,,,,,,PO No.1990009803,"SAGE SO 0877200

FedEx Acct. No. 0029-0717-8 

Shelf life must be less than 1 year

Include Date of Manufacture and Retest Date on all shipping documents and labels.

Tech Data Sheet must include PO number 1990009803

Prior to shipment, email copy of tech data to:
Rogers Arizona at acsaz.quality@rogerscorporation.com
Rogers BVBA at mwreceive@rogerscorporation.com

Email tracking number to 
Bill Potter at bill.potter@rogerscorporation.com

Email invoice to rogerscorp@bottomlineidcs.com

Accounts Payable: rogerscorp@bottomlineidcs.com, Fax 1-603-766-8010 or 1-617-673-1300.",,,1,Rogers Innovation Center,141 S. Bedford St.,,,Burlington,MA,01803,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-09T15:54:02.843-04:00,2024-09-12T12:58:44.327-04:00,[],{},2024-07-01,2024-07-15
