CustomerName,CustomerNumber,Inactive,Address1,Address2,Address3,City,State,Zip,Country,Phone,Email,Website,Division,TermsCode,PriceGroupCode,SalesAgentCode,TradeClass,TaxCode,Warehouse,BillingNumber,Currency,TaxExempt,PriceRemark,GeneralRemark,ShippingRemark,SpecialRemark1,SpecialRemark2,SpecialRemark3,SpecialRemark4,SpecialRemark5,SpecialRemark6,SpecialRemark7,SpecialRemark8,SpecialRemark9,SpecialRemark10,CreditOption,CreditLimit,CreateDate,UpdateDate,Truck,RemainingShelfLife,ShelfLifeUnit,ShelfLifeBasis,CustomFields
BASF Catalysts LLC (Seneca),0003190,False,"100 Park Avenue, Dept 903",,,Florham Park,NJ,07932-0685,USA,(225) 339-7100,,,1,AR10,C,0000,,100,,,,,,,,"BASF Purchase Order No. must be referenced on all shipping paperwork and labels.

Tech data must contain the date of manufacture.

Mark B/L:
Delivery Hours:  7am to 3pm .. M-F
Trucker must make an appt with Receiving
Department for Raw Material delivery
C",,,"7/19/06  A/P said 309866 was paid on ck 488355 along w/ Huntsville invoices.
              Lost in mail.  Wait 30 days for replacement ck.          
BASF Purchase Order No. must be referenced on all shipping paperwork and labels.

Tech data must contain the date of manufacture.

Mark B/L:
Delivery Hours:  7am to 3pm .. M-F
Trucker must make an appt with Receiving
Department for Raw Material delivery
Contact Sandra Turk, T: (864)886-0118 or
Adam Leroy (864)886-0113

BASF Transporation Command Center - Use the Transplace portal to setup pickups. 
Login: 1230rsanchez   //  Password:  2023noahchem!
Email invoices to   ice_2063@basf.com

This part number shall be packaged in fiber drums clearly stating the lot number, BASF Part Number, gross weight and net weight.  In addition, 2"" Color tape as indicated below shall be placed around the drum just below the Noah product label:

Ba Acetate - Dark Blue (5 drums / pallet)
Ba Hydroxide - White (4 drums / pallet)
Ba Nitrate - Light Blue (5 drums / pallet)
BaSulfate - Red (4 drums / pallet)
Str Acetate - Black (4 drums / pallet)
Str Hydroxide - Yellow (4 drums / pallet)
Str Nitrate - Green (5 drums / pallet)",,,,,,,,10000.0,2024-01-10T15:50:18.84-05:00,2025-01-08T16:26:39.91-05:00,,,0,0,{}
Luxfer Magtech Inc.,0003220,False,2940 Highland Ave Unit 210,,,Cincinnati,OH,45212,USA,(631) 727-8600,,,1,AR30,C,0000,,100,,,,,,,,"Preferred Truck:  YRC

Email tech data sheet and tracking number to purchasing agent on order.

Email invoice to LMD-AP@luxfer.com

Per customer always okay to part ship orders.",,,"9/11/19 contacted Leo Willisams leo.williams@luxfer.com to find out who the AP person is.
9/11/19 Leo said send invoices to Emily.Stephens@Luxfer.com which I did
9/16/19 contacted Emily.Stephens@Luxfer.com about past due.
9/18/19 no response from Emily. Contacting her again.

4/22/20  Updated AP info rec'd:  LMD-AP@Luxfer.com or 513-570-4901
5/14/20  Emailed 577976 to AP contact above
6/3/20  Left message with 513-570-4901 re 577976
Preferred Truck:  YRC

Email tech data sheet and tracking number to purchasing agent on order.

Email invoice to LMD-AP@luxfer.com

Per customer always okay to part ship orders.",,,,,,,,3000.0,2024-01-10T15:50:19.54-05:00,2025-01-08T16:26:39.957-05:00,,,0,0,{}
0003240,0003240,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:12.01-05:00,2025-02-06T14:42:12.01-05:00,,,0,0,{}
Fisher Scientific,0003370,False,P.O. Box 1768,,,Pittsburgh,PA,15230,,(412)490-8300,michele.soza-wojtczak@thermofisher.com,,1,AR10,C,0000,,100,,,,,,,,,,,"Sales Dept: 
Please document the following below the item desciption:
Release No: __________

Please put the following on shipping address:
Attention: (number next to attention on sales order *NOT THE PO**) if applicable",,,,,,,,25000.0,2024-01-10T15:50:20.303-05:00,2025-01-08T16:26:40.003-05:00,,,0,0,{}
Clarks Natural Holistic,0003371,False,2420 N. West Marshall St,,,Portland,OR,97210,USA,503-250-3392,,,1,AR00,C,0000,,100,,,,,,,,,,,,,,,,,,,0.0,2024-01-10T15:50:21.033-05:00,2024-01-10T15:50:21.033-05:00,,,0,0,{}
0003420,0003420,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:12.04-05:00,2025-02-06T14:42:12.04-05:00,,,0,0,{}
"H. C. Starck, Inc.",0003430,True,Accounts Payable,45 Industrial Place,,Newton,MA,02461-1951,,(617)630-5980,,,1,AR10,C,0000,,100,,,,,,,,"Email a copy of invoice to Attn: ____________ at _________________.

Coldwater,  MI location's FedEx Acct. No. 049-003-250",,,"Email a copy of invoice to Attn: ____________ at _________________.

Coldwater,  MI location's FedEx Acct. No. 049-003-250",,,,,,,,10000.0,2024-01-10T15:50:27.667-05:00,2025-01-08T16:26:40.05-05:00,,,0,0,{}
0003460,0003460,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:12.057-05:00,2025-02-06T14:42:12.057-05:00,,,0,0,{}
City Chemical LLC,0003480,False,139 Allings Crossing Road,,,West Haven,CT,06516,USA,(800)248-2436,,,1,AR07,C,0000,,100,,,,,,,,UPS Account #W7X-128,,,UPS Account #W7X-128,,,,,,,,0.0,2024-01-10T15:50:28.37-05:00,2025-01-08T16:26:40.113-05:00,,,0,0,{}
Sea World Parks  & Entertainment,0003890,False,Attn: Accounts Payable,P.O. Box 690429,,Orlando,FL,32869-0429,USA,,,,1,AR30,C,0000,,100,,,,,,,,"UPS Acct. No. 182-W46 

FedEx Acct. No. 3031-0785-1

New Routing Instructions effective 11/2016 attached. (filed in correspondence)

Domestic Routing Instructions and/or if PO States Collect or 3rd Party Biling contact:  Seaworld.cl.us@geodis.com
 
Int'l",,,"8/30/16   emailed 520023 to A/P
10/112/16  emailed 520023 again to A/P
11/30/17  emailed 541060 to A/P.  Short paid - did not pay line item 002
12/15/17  follow up email re 541060 to A/P
5/2/19      Seaworld short paid invoice 563489. Also advice is still coming to mark                   instead of me. I have asked them to move it to me. I also asked why they                  short paid.
7/22/20   emailed Accounts.Payable@SeaWorld.com re 581342
3/7/23 emailed Gina & Janelle for payment status 617796
3/7/23 payment iniated 3/8/23


UPS Acct. No. 182-W46 

FedEx Acct. No. 3031-0785-1

New Routing Instructions effective 11/2016 attached. (filed in correspondence)

Domestic Routing Instructions and/or if PO States Collect or 3rd Party Biling contact:  Seaworld.cl.us@geodis.com
 
Int'l Routing Instructions contact: GlobalRouting@SeaWorld.com

Small Packages do not require routing through GEODIS Use FedEx Ground.
See attachment for fedex account numbers. If cannot go fedex ground need to contact freightrouting@seaworld.com. Email must include why.

Contact SeaWorld.cl.us@geodis.com for routing instructions

3rd Party Freight Bill To: 
SeaWorld c/o GEODIS
Attn: Freight Pay
P.O. Box 2208
Attn: Freight Pay
Brentwood, TN 37024-2208

PO Number must be on all product labels 

PO Number must be entered in the reference number 1 field in the shipping system  (or on B/L if shipping by truck)

Do not mail invoice. An on-line invoice will be set up by customer once material is received at their site.            
                                                   
Send tracking information to Gina Ward at Gina.Ward@seaworld.com and CC Janelle Baca at Janelle.baca@seaworld.com",,,,,,,,6000.0,2024-09-03T08:03:50.55-04:00,2025-01-13T17:25:31.947-05:00,,,0,0,{}
Seidler Chemical And Supply Co,0003930,False,537 Raymond Boulevard,,,Newark,NJ,07105,USA,(973)465-1122,,,1,AR10,C,0000,,100,,,,,,,,,,,,,,,,,,,5000.0,2024-01-10T15:50:29.107-05:00,2024-01-10T15:50:29.107-05:00,,,0,0,{}
"PSG Controls, Inc.",0004050,True,1225 Tunnel Road,,,Perkasie,PA,18944-2131,USA,(215) 257-3621,,,1,AR10,C,0000,,100,,,,,,,,"UPS Acct. No. 175-514

Email tracking number to Chad Billmyer at cbillmyer@psgcontrols.com",,,"UPS Acct. No. 175-514

Email tracking number to Chad Billmyer at cbillmyer@psgcontrols.com",,,,,,,,1000.0,2024-01-10T15:50:29.83-05:00,2025-01-08T16:26:40.207-05:00,,,0,0,{}
0004110,0004110,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:12.09-05:00,2025-02-06T14:42:12.09-05:00,,,0,0,{}
"Technic, Inc.",0004250,False,P.O. Box 9650,,,Providence,RI,02940,USA,(401) 781-6100,,,1,AR30,C,0000,,100,,,,,,,,"UPS Acct. No. 021-238
FedEx Acct. No. 0029-0077-7

When going by Truck, ship third party billing

THIRD PARTY BILLING:
Tehnic, Inc.
c/o Total Logistix
P.O. Box 9506
Amhurst,  NY   14226

ALL orders should reference a PO No.

Email invoices to: ap@technic.",,,"8/29/22 emailed ap ref 610525

UPS Acct. No. 021-238
FedEx Acct. No. 0029-0077-7

When going by Truck, ship third party billing

THIRD PARTY BILLING:
Tehnic, Inc.
c/o Total Logistix
P.O. Box 9506
Amhurst,  NY   14226

ALL orders should reference a PO No.

Email invoices to: ap@technic.com",,,,,,,,5000.0,2024-01-10T15:50:30.63-05:00,2025-01-08T16:26:40.253-05:00,,,0,0,{}
"VRP Manufacturing, LLC",0004350,False,Accounts Payable,4610 Arrowhead Drive,,Carson City,NV,89706,USA,(775)884-1300,Liv.Malmed@VRP.com,,1,AR03,C,0000,,100,,,,,,,,"FedEx Acct. No.: 1562-0081-6 **verify account number**

UPS Acct No.:  9562E6    **verify account number**

Country of Origin must be on all tech data
Insp/Retest Date must be on all tech data  
Material must have at least a 2 year expiration date from pu",,,"10/9/08  Faxed 360158, 361324, 361676 to Alice at 775-884-5661      
1/26/09  emailed 367066 to Alice at payables@vrp.com.  Will get set up for ACH pmts.  
10/28/11  emailed 425025 to payables@vrp.com     email address no good
10/31/11  left message for A/P re 425025                
11/8/11  per Liv Malmed, sent email to Randy Au (supply mgr) @ randy.au@vrp.com, 
               ext. 163 re 425025.  Acct on hold.              

9/15/14  sent 482522 to ap@vrp.com per automated message                                                                                                   
FedEx Acct. No.: 1562-0081-6 **verify account number**

UPS Acct No.:  9562E6    **verify account number**

Country of Origin must be on all tech data
Insp/Retest Date must be on all tech data  
Material must have at least a 2 year expiration date from purchase

e-mail Liv at livm@vrp.com the tech data and tracking number after shipment is made.
          
Don't ship orders earlier than 1 week prior to PO required date unless otherwise instructed.  10-JUN-08 Liv Malmed (Vitamin Research)/lr
             
VRP Item Number must be included on the packing list. 

PO must be on all freight documentation                         
                
Per Liv the PO's have been modified, Therefore Specs will always be sent along with a purchase order. These specs will need to be reviewed.

Tech Data Sheet must be signed by Chief Chemist",,,,,,,,0.0,2024-01-10T15:50:31.277-05:00,2025-01-08T16:26:40.3-05:00,,,0,0,{}
A & C American Chemicals Ltd.,0005001,False,3010 De Baene Street,,,Montreal,QC,H4S 1L2,CAN,(514)336-1493,,,1,AR03,C,0000,,100,,,,,,,,"UPS Acct. No. 520 599
FedEx Acct No. 1317-8862-2

Material must be from ONE LOT ONLY

Tech Data to include manufacture date, origin and retest date

Prior to shipping send a copy of the tech data to Lynda Maniatis at lmaniatis@acggp.com for approval

For",,,"MC
5587 0000 0332 1460
Name: Linda Maniatis/A&C American Chemicals
Exp: 05/2017
Pin: 558
CC Billing Address: 3010 De Baine Street, Montreal, QC  H4S 1L2  CANADA
UPS Acct. No. 520 599
FedEx Acct No. 1317-8862-2

Material must be from ONE LOT ONLY

Tech Data to include manufacture date, origin and retest date

Prior to shipping send a copy of the tech data to Lynda Maniatis at lmaniatis@acggp.com for approval

For shipments containing dangerous goods, please indicate the following on all paperwork ""24-Hour Number - (613) 996-6666 CANUTEC"".

Certificate of Origin required with each shipment

No partial shipments permitted.

When pallets are used, they must be heat treated with applicable stamp.

Contact Milgram Freight for shipping instructions
Email: MFSPICKUPMTL@milgram.com
Tel: (514) 288-6002 Ext. 2588
Indicate Custom Broker as Cole International

Send invoice to:  Accounting@acggp.com",,,,,,,,5000.0,2024-01-10T15:50:31.937-05:00,2025-01-08T16:26:40.347-05:00,,,0,0,{}
Advance Research Chemical,0005002,False,1110 W. Keystone Ave.,,,Catoosa,OK,74015,,(918) 266-6789,,,1,AR30,C,0000,,100,,,,,,,,"UPS Acct. No. 549-510
FedEx Acct. No. 1107-0855-6
FedEx Freight Acct No. 70212295

Contact buyer if material cannot ship via ground
                                                 
Prior to shipment tech data sheet must be emailed to:  quality@fluoridear",,,"7/15/19 sent email and they responded to send the invoice to <abby.montgomery@fluorideARC.com>
7/19/19 asked abby about the payment.She replied the 7/25 check run.
9/14/21 emailed on invoice payment status kaley.dennis@fluoridearc.com
9/15/21 inv 596786 to run on 9/21/21 check run
7/19/22 emailed ap ref 609414
8/15/22 emailed ap ref 610085
3/23/23 emailed ap ref 618225


UPS Acct. No. 549-510
FedEx Acct. No. 1107-0855-6
FedEx Freight Acct No. 70212295

Contact buyer if material cannot ship via ground
                                                 
Prior to shipment tech data sheet must be emailed to:  quality@fluoridearc.com 

PO No. must be on all shiping documents and product labels.
  
email invoices to: ap@fluoridearc.com",,,,,,,,5000.0,2024-01-10T15:50:32.64-05:00,2025-01-08T16:26:40.393-05:00,,,0,0,{}
