OrderNumber,OrderStatus,CustomerNumber,CustomerName,OrderDate,ShipDate,PromisedDate,Closed,CreditHold,OnHold,BlanketOrder,Amount,OrderType,CustomerPurchaseOrderNumber,SalesAgent,Division,Warehouse,TaxCode,ShipperID,Attention,FOB,FreightOption,FreightAmount,FreightCost,Email,FreeField1,FreeField2,OrderRemarks,InternalRemarks,OrderRemark3,OrderRemark4,ShipToSequence,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToZip,ShipToCountry,Phone,ShipFromName,ShipFromAddress1,ShipFromAddress2,ShipFromAddress3,ShipFromCity,ShipFromState,ShipFromZip,ShipFromCountry,MiscCharge1,MiscCharge1GL,MiscCharge1Reason,MiscCharge1Tax,MiscCharge2,MiscCharge2GL,MiscCharge2Reason,MiscCharge2Tax,MiscCharge3,MiscCharge3GL,MiscCharge3Reason,MiscCharge3Tax,MiscCharge4,MiscCharge4GL,MiscCharge4Reason,MiscCharge4Tax,NumberOfPallets,ShippingZone,Truck,TruckRunId,TruckRunDate,StopNumber,StandingOrderRelease,ExternalTracking,CreateDate,UpdateDate,items,CustomFields,Month
900751,Entered,0012591,"Biotron Laboratories, Inc.",2025-03-06,2025-04-10T00:00:00-04:00,2025-02-12T00:00:00-05:00,False,True,False,False,6471.0,1,OGDENPO0072301,0012,1,1,100,ECHO GLOBAL LOGISTICS,JoAnna Garcia,ExWorks SanAntonioTX,THIRD PARTY,,,alex@Biotronlabs.com,CFR49-HM181,,,"Email order confirmation to Melody Cruz at melody@actylis.com and JoAnna Garcia at 
jgarcia@actylis.com

Contact Melody Cruz at melody@actylis.com to arrange the shipping for this order

Do not ship more than one lot without prior approval

Include manufacture date & insp/retest date on tech data

Email invoices to: ap.biotron@actylis.com",,,3,"Biotron Laboratories, Inc. d/b/a Actylis",766 South Depot Drive,,,Ogden,UT,84404,USA,(801) 298-8438,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-13T17:50:02.147-04:00,2025-03-17T09:48:54.85-04:00,[],{},2025-03
900753,Entered,0014053,United Chemical LLC,2025-03-14,2024-12-30T00:00:00-05:00,2024-12-30T00:00:00-05:00,False,True,True,False,185440.0,1,13710,0026,1,1,100,TRUCK,,DEL to customer,DELIVERED,,,,CFR49-HM181,,,"SPECIAL INSTRUCTIONS:

Ship first 10 FTL's by middle of month and ship balance by end of month.",,,1,United Chemical International LLC - Haslett,United Chemical International LLC,5607 White Ash,,Haslett,MI,48840,USA,(489) 639-4020,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T10:26:08.697-04:00,2025-03-14T10:34:51.817-04:00,[],{},2025-03
900754,Entered,0011254,Gooch & Housego Company,2025-03-10,2025-06-02T00:00:00-04:00,2025-06-02T00:00:00-04:00,False,True,False,False,20891.5,1,034585,0032,1,1,100,FEDEX GROUND,1,EXW San Antonio TX,COLLECT,,,jlamacchia@goochandhousego.com,,,,,,,2,Gooch & Housego Company,"Cleveland Crystals, Inc.",670 ALPHA DRIVE,SUITE 400,Highland Heights,OH,44143,USA,(216) 486-6100,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T11:37:08.113-04:00,2025-03-14T15:46:01.257-04:00,[],{},2025-03
900755,Entered,0005010,"Verdesian Life Sciences, LLC",2025-03-13,2025-03-20T00:00:00-04:00,2025-03-17T00:00:00-04:00,False,False,False,False,6910.0,1,VLS1013693,0000,1,1,100,Fedex Freight Priority,Elda,EXW San Antonio TX,COLLECT,,,elda.deayala@vlsci.com,CFR49-HM181,,,"FedEx Acct. No. 1146-8056-7 

Ammonium Metavanadate:  Ship by truck (not UPS) to avoid poison packaging & hazard fees.

Do not use packing peanuts for any product / shipment -- use bubble wrap.

Email SDS to milan.boyce@vlsci.com      

Email tracking number to Buyer - Elda De Ayala,  elda.deayala@VLSci.com on P.O 

Email invoice to  cytozyme.ap@vlsci.com & andrew.helms@vlsci.com

Cytozyme Part No must be on all shipping documents and product labels:
     Code 13225 --- Cytozyme Part No. 1003002",,,1,Salt Lake City Manufacturing Plant Location,2700 S 600 W,,,South Salt Lake CIty,UT,84115,USA,(801) 746-4154,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T11:48:19.953-04:00,2025-03-14T11:54:57.797-04:00,[],{},2025-03
900756,Entered,0002090,Thermo Fisher Scientific,2025-03-11,2025-05-12T00:00:00-04:00,2025-05-16T00:00:00-04:00,False,True,False,False,1944.0,1,449819,0024,1,1,100,R & L CARRIERS,CATHY,EXWorks SanAntonioTX,COLLECT,,,jeff.oconnor@alfa.com,CFR49-HM181,,,"R&L Carriers: TH38SH 

Certificate of Origin required with all shipments

PO Number 449819 must be on all shipping documents and labels

Tech data must state the following:  
This material is chemically synthesized
Country of Origin: ____

All products must have the following marked on the inner labels and outer packaging:
Country of Origin: ____

Email invoice to alfaaesar.accountspay@thermofisher.com

Email tracking information to cathy.thompson@ThermoFisher.com

Email Tech Data Sheet and SDS to QCdocs@alfa.com

Email Tech Data Sheet and Certificate of Origin to alfaaesar.qcdocs@thermofisher.com

LTL Carrier should always be R&L:
                
FOR SHIPMENTS TO WARD HILL, MA:

Do not declare a value for insurance purposes
Do not delcare a value for carriage
PO No 449819 must be on BOL
Shipping paperwork should reflect the name Thermo Fisher Scientific",,,9,Thermo Fisher Scientific - Shelley,Thermo Fisher Scientific,Alfa Aesar,38 Shelley Road,Ward Hill,MA,01835,USA,(978) 521-6490,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T12:19:24.543-04:00,2025-03-14T12:29:16.463-04:00,[],{},2025-03
900757,Entered,0012985,Spectra-Mat Inc,2025-03-05,2025-03-19T00:00:00-04:00,2025-03-24T00:00:00-04:00,False,True,False,False,642.0,1,24204,0032,1,1,100,UPS NEXT DAY,Scott Thorsted,ExWorks SanAntonioTX,COLLECT,,,maribel_cosio@saes-group.com,UPS Air,,,"URGENT

Pack into 2 Kg bottles

UPS Acct No. 956274 Ship NEXT DAY

Email invoices to : maribel.cosio@apectramat.com

Email order confirmation to  Maribel Cosio at maribel.cosio@apectramat.com and Scott Thorsted at  scott.thorsted@spectramat.com",,,-1,Spectra-Mat Inc,100 Westgate Drive,,,Watsonville,CA,95076,USA,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T13:56:17.893-04:00,2025-03-14T13:57:52.283-04:00,[],{},2025-03
900758,Entered,0002090,Thermo Fisher Scientific,2025-03-13,2025-03-18T00:00:00-04:00,2025-03-18T00:00:00-04:00,False,True,False,False,2031.75,1,449948,0024,1,1,100,R & L CARRIERS,CATHY THOMPSON,EXWorks SanAntonioTX,COLLECT,,,jeff.oconnor@alfa.com,CFR49-HM181,,,"R&L Carriers: TH38SH 

Certificate of Origin required with all shipments

PO Number 449948 must be on all shipping documents and labels

Tech data must state the following:  
This material is chemically synthesized
Country of Origin: ____

All products must have the following marked on the inner labels and outer packaging:
Country of Origin: ____

Email invoice to alfaaesar.accountspay@thermofisher.com

Email tracking information to cathy.thompson@ThermoFisher.com

Email Tech Data Sheet and SDS to QCdocs@alfa.com

Email Tech Data Sheet and Certificate of Origin to alfaaesar.qcdocs@thermofisher.com

LTL Carrier should always be R&L:
                
FOR SHIPMENTS TO WARD HILL, MA:

Do not declare a value for insurance purposes
Do not delcare a value for carriage
PO No 449948 must be on BOL
Shipping paperwork should reflect the name Thermo Fisher Scientific",,,6,Thermo Fisher Scientific,Alfa Aesar,30 Bond Street,,Ward Hill,MA,01835,USA,(978) 521-6490,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T14:35:28.233-04:00,2025-03-14T14:35:28.233-04:00,[],{},2025-03
900759,Entered,0002090,Thermo Fisher Scientific,2025-03-12,2025-03-21T00:00:00-04:00,2025-03-18T00:00:00-04:00,False,True,False,False,6655.0,1,449894,0024,1,1,100,R & L CARRIERS,CATHY THOMPSON,EXWorks SanAntonioTX,COLLECT,,,jeff.oconnor@alfa.com,CFR49-HM181,,,"R&L Carriers: TH38SH 

Certificate of Origin required with all shipments

Origin is mandatory for each lot shipped

PO Number 449894 must be on all shipping documents and labels

Tech data must state the following:  
This material is chemically synthesized
Country of Origin: ____

All products must have the following marked on the inner labels and outer packaging:
Country of Origin: ____

Email invoice to alfaaesar.accountspay@thermofisher.com

Email tracking information to cathy.thompson@ThermoFisher.com

Email Tech Data Sheet and SDS to QCdocs@alfa.com

Email Tech Data Sheet and Certificate of Origin to alfaaesar.qcdocs@thermofisher.com

LTL Carrier should always be R&L:
                
FOR SHIPMENTS TO WARD HILL, MA:

Do not declare a value for insurance purposes
Do not delcare a value for carriage
PO No 449894 must be on BOL
Shipping paperwork should reflect the name Thermo Fisher Scientific",,,6,Thermo Fisher Scientific,Alfa Aesar,30 Bond Street,,Ward Hill,MA,01835,USA,(978) 521-6490,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T15:15:33.43-04:00,2025-03-14T17:22:56.393-04:00,[],{},2025-03
900760,Entered,0010805,"Oakwood Products, Inc.",2025-03-14,2025-04-18T00:00:00-04:00,2025-04-18T00:00:00-04:00,False,False,False,False,0.0,3,89317,0024,1,1,100,UPS GROUND,Megan O'Hara,"EXW San Antonio, TX",COLLECT,,,sbrazell@oakwoodchemical.com,UPS Ground / FedEx Ground,,,,,,-1,"Oakwood Products, Inc.",P.O. Box 457,,,Estill,SC,29918,USA,(800) 467-3386,"Oakwood Products, Inc.",1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T16:19:54.783-04:00,2025-07-24T23:53:54.077-04:00,[],{},2025-03
900761,Entered,0009954,"Univar Solutions USA, Inc.",2025-03-14,2025-03-21T00:00:00-04:00,2025-03-21T00:00:00-04:00,False,False,False,False,0.0,1,SAMP-703891,0012,1,1,100,UPS GROUND,1,ExWorks SanAntonioTX,COLLECT,,,judy.nunn@univarusa.com,,,,TBA along with date and other info,,,-1,"Univar Solutions USA, Inc.",P.O. Box 34325,,,Seattle,WA,98124-1325,USA,(513) 714-5206,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T16:42:39.123-04:00,2025-03-14T16:42:39.123-04:00,[],{},2025-03
900762,Entered,15044,Goggle,2025-03-14,2025-04-15T00:00:00-04:00,2025-04-15T00:00:00-04:00,False,True,False,False,2250.0,1,Email order,0032,1,1,100,FEDEX GROUND,Jo Ohm,EXW San Antonio TX,COLLECT,,,joohm@google.com,UPS Ground / FedEx Ground,,,,,,1,Goggle,3101 Commerce Pkwy,Attn: Alina Soto,,Miramar,FL,94080,USA,1 650-253-0000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-14T17:47:03.787-04:00,2025-03-14T17:50:20.07-04:00,[],{},2025-03
900763,Entered,0012010,Aldrich Chemical Co. LLC,2025-02-06,2025-03-24T00:00:00-04:00,2025-03-24T00:00:00-04:00,False,True,False,False,1228.7681,1,4104092286,0024,1,1,100,FEDEX GROUND,Vinita Sharma,"EXW San Antonio, TX",COLLECT,,,,UPS Ground / FedEx Ground,,,"FedEx Acct. No. 1582-9858-9 

(Domestic USA)
Shipments <150 lb route Via FedEx Ground for non-haz / air for haz

Must be one lot unless preapproved by buyer 

Mark each container with the PO number 4104092286, Sigma-Aldrich part number 377449, and the gross/tare/net weights. 

Email certificate of origin, tech data sheet, and SDS which should include:
Sigma-Aldrich P.O. No. 4104092286
Sigma-Aldrich Part No. 377449
Country of Origin:  USA
to:  supplierdocs@milliporesigma.com, Attention: Analytical Services + Sigma Aldrich PO number and lot/batch number in the subject line in the format PO#XXX|Batch#

Email tracking number to Vinita Sharma (purchasing agent) at 
vinita.sharma@merckgroup.com

Email invoice to: usap.invoices@milliporesigma.com     

Email Order confirmation to: aldrichorderacknowledgement@milliporesigma.com (CC purchasing agent  vinita.sharma@merckgroup.com)",,,1,Aldrich Chemical Co. LLC,6000 N. Teutonia Ave.,,,Milwaukee,WI,53209,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-03-17T12:18:08.83-04:00,2025-03-17T12:18:08.83-04:00,[],{},2025-02
900765,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (1),0000,1,1,100,TRUCK,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-04T01:51:43.3-04:00,2025-10-04T01:51:43.3-04:00,[],{},2025-09
900766,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (2),0000,1,1,100,TRUCK,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-04T02:12:46.207-04:00,2025-10-04T02:12:46.207-04:00,[],{},2025-09
900767,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (1),0000,1,1,100,TRUCK,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-04T02:13:13.1-04:00,2025-10-04T02:13:13.1-04:00,[],{},2025-09
900768,Entered,264461114060,Jonathan,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,0.0,1,D225992 (1),00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-07T02:21:57.313-04:00,2025-10-07T02:21:57.313-04:00,[],{},2025-09
900769,Entered,264461114060,Jonathan,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,0.0,1,D225992 (1),00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-07T02:40:55.643-04:00,2025-10-07T02:40:55.643-04:00,[],{},2025-09
900770,Entered,264461114060,Jonathan,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,0.0,1,D225992 (1),00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-08T02:49:24.07-04:00,2025-10-08T02:49:24.07-04:00,[],{},2025-09
900771,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (1),0000,1,1,100,test,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-10-09T02:42:20.14-04:00,2025-10-09T02:42:20.14-04:00,[],{},2025-09
900772,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (1),0000,1,1,100,TRUCK,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-13T06:39:13.317-05:00,2025-11-13T06:39:13.317-05:00,[],{},2025-09
900773,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (1),0000,1,1,100,TRUCK,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-17T07:06:01.693-05:00,2025-11-17T07:06:01.693-05:00,[],{},2025-09
900774,Entered,0010136,Eagle Picher Technologies,2025-09-29,2025-10-22T00:00:00-04:00,2025-10-22T00:00:00-04:00,False,False,True,False,87.0,1,D225992 (1),0000,1,1,100,TRUCK,Dillan Whistler,EXW San Antonio TX,COLLECT,,,,UPS Ground / FedEx Ground,,,"THIS IS A BLANKET ORDER

PO No D225998 and Eagle Picher Acct No must be referenced in the ""Shipper Reference"" or ""Billing Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices.

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A

Must assure that a minimum of 75% of the shelf life is remaining at time of receipt at Eagle Picher.

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy
Account: Worldwide Express W822199749

Third Party Billing
Eagle Picher c/o Worldwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,1,Eagle Picher Technologies,"""C"" Street & Porter",,,Joplin,MO,64801,,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-18T00:36:06.62-05:00,2025-11-18T00:36:06.62-05:00,[],{},2025-09
900775,Entered,264461114060,Jonathan,2025-11-18,2025-11-18T00:00:00-05:00,2025-11-18T23:00:00-05:00,False,False,True,False,0.0,1,49955,00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-18T00:38:47.277-05:00,2025-11-18T00:38:47.277-05:00,[],{},2025-11
900776,Entered,264461114060,Jonathan,2025-11-18,2025-11-18T00:00:00-05:00,2025-11-18T23:00:00-05:00,False,False,True,False,0.0,1,49956,00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-18T00:43:14.377-05:00,2025-11-18T00:43:14.377-05:00,[],{},2025-11
900777,Entered,264461114060,Jonathan,2025-11-18,2025-11-19T00:00:00-05:00,2025-11-18T23:00:00-05:00,False,False,True,False,0.0,1,49957,00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,12345678,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-18T00:48:09.927-05:00,2025-11-18T05:13:39.21-05:00,[],{},2025-11
900778,Entered,264461114060,Jonathan,2025-11-18,2025-11-30T00:00:00-05:00,2025-11-18T23:00:00-05:00,False,False,True,False,0.0,1,49957,00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,12345678,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-24T06:28:36.953-05:00,2025-11-24T06:38:09.86-05:00,[],{},2025-11
900779,Entered,264461114060,Jonathan,2025-11-24,2025-11-24T00:00:00-05:00,2025-11-24T15:09:10-05:00,False,False,True,False,0.0,1,49979,00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-11-24T07:09:09.343-05:00,2025-11-24T07:09:09.343-05:00,[],{},2025-11
